${appointmentDirector-address}	Appointment Director Address	
${appointmentDirector-birthday}	Appointment Director Birthday	
${appointmentDirector-country}	Appointment Director Country	
${appointmentDirector-email}	Appointment Director Email	
${appointmentDirector-gender}	Appointment Director Gender	
${appointmentDirector-name}	Appointment Director Name	
${appointmentDirector-nationality}	Appointment Director Nationality	
${appointmentDirector-passport}	Appointment Director Passport	
${appointmentDirector-phone}	Appointment Director Phone	
${branch-address}	Branch Address	
${branch-country}	Branch Country	
${branch-email}	Branch Email	
${branch-name}	Branch Name	
${branch-phone}	Branch Phone	
${chairmanDirector-address}	Chairman Director Address	
${chairmanDirector-birthday}	Chairman Director Birthday	
${chairmanDirector-country}	Chairman Director Country	
${chairmanDirector-email}	Chairman Director Email	
${chairmanDirector-gender}	Chairman Director Gender	
${chairmanDirector-name}	Chairman Director Name
${chairmanDirector-nationality}	Chairman Director Nationality	
${chairmanDirector-passport}	Chairman Director Passport	
${chairmanDirector-phone}	Chairman Director Phone	
${company-business_activity1}	Company Business Activity 1	
${company-business_activity2}	Company Business Activity 2	
${company-country}	Company Country	
${company-employment_pass}	Company Employment Pass	
${company-management_service}	Company Management Service	
${company-paid_up_capital}	Company Paid Up Capital	
${company-postal_code}	Company Postal Code	
${company-proposed_name}	Company Proposed Name	
${company-reg_address}	Company Reg Address	
${company-reg_date}	Company Reg Date	
${company-reg_name}	Company Reg Name	
${company-shareholders_resolution_date}	Company Shareholders Resolution Date	
${company-special_resolution_date}	Company Special Resolution Date	
${company-year_ended}	Company Year Ended	
${company_owner-country}	Company Owner Country	
${company_owner-email}	Company Owner Email	
${company_owner-name}	Company Owner Name	
${company_owner-phone}	Company Owner Phone	
${job-auditor_company}	Annual General Meeting Auditor Company	
${job-auditor_name}	Annual General Meeting Auditor Name	
${job-company_reg_address}	New Company Reg Address	
${job-company_strike_off_date}	Date of Strike Off	
${job-financial_year_end}	New Financial Year End	
${job-paid_up_capital}	New Paid Up Capital	
${job-service}	Job Service	
${job-year_ended}	Annual General Meeting Year Ended	
${knowYourClient-a1}	Client acceptance form - Source and description of your wealth to start this company (eg; saving from income, inheritance and others please specificy)	
${knowYourClient-b1}	Client acceptance form - What type of business activities the Company is to perform	
${knowYourClient-b10}	Client acceptance form - Source and intended destination of outgoing funds from the company's bank account (Eg operational expenses, remit back to holding company or etc)	
${knowYourClient-b2}	Client acceptance form - Source of fund to start the Company	
${knowYourClient-b3}	Client acceptance form - How is the sales of the Company being generated?	
${knowYourClient-b4}	Client acceptance form - What the estimated turnover (in Singapore Dollars) for the next 12 months?	
${knowYourClient-b5}	Client acceptance form - Names of some of your supplier (if any)	
${knowYourClient-b6}	Client acceptance form - Names of your customer (if any)	
${knowYourClient-b7}	Client acceptance form - Background of the directors(e.g. Local or foreigner, past working experience, etc)	
${knowYourClient-b8}	Client acceptance form - What will the company's bank account be used mostly for? (eg. investments or operational account)	
${knowYourClient-b9}	Client acceptance form - Source of incoming funds into the bank account (Eg. operational revenue , funds from investors or holding company)	
${knowYourClient-background_beneficial_owners}	Client acceptance form - Background of the beneficial owners	
${knowYourClient-background_directors}	Client acceptance form - Background of the directors	
${knowYourClient-bank_account}	Client acceptance form - What will the Singapore bank account be used mostly for? (eg. investments or operational account)	
${knowYourClient-cd1}	Client acceptance form - Is the Beneficial Owner the same person as Section A?	
${knowYourClient-cd2}	Client acceptance form - Are any of the persons listed above a politically exposed person, that is, a person who is or has been entrusted with any prominent public function in Singapore, a country or territory outside Singapore, or by an international org	
${knowYourClient-cd3}	Client acceptance form - Are any of the persons listed above a politically exposed person, that is, a person who is or has been entrusted with any prominent public function in Singapore, a country or territory outside Singapore, or by an international org	
${knowYourClient-cd4}	Client acceptance form - Are any of the persons listed above an immediate family member or a close associate of a politically exposed or a politically exposed person who has stepped down?	
${knowYourClient-convicted}	Client acceptance form - Have you ever been criminally convicted	
${knowYourClient-edu_name}	Client acceptance form - Highest qualification from which education institution	
${knowYourClient-expected_turnover}	Client acceptance form - Expected turnover per year	
${knowYourClient-experience}	Client acceptance form - Past 5 years of working experience	
${knowYourClient-explain_business_activities}	Client acceptance form - Please explain about your business activities in detail	
${knowYourClient-names_counterparts}	Client acceptance form - Names of some of your counterparts/ sister company	
${knowYourClient-names_customers}	Client acceptance form - Names of some of your customers	
${knowYourClient-names_suppliers}	Client acceptance form - Names of some of your suppliers	
${knowYourClient-reason_choosing}	Client acceptance form - What is the reason for choosing to set up company in Singapore	
${knowYourClient-source_beneficial_owners}	Client acceptance form - What is the source of wealth of the beneficial owners	
${knowYourClient-source_incoming_account}	Client acceptance form - Source of incoming funds into the account	
${knowYourClient-source_outgoing_account}	Client acceptance form - Source and intended destination of outgoing funds from the account	
${nomineeDirector-address}	Nominee Director Address	
${nomineeDirector-birthday}	Nominee Director Birthday	
${nomineeDirector-country}	Nominee Director Country	
${nomineeDirector-deposit}	Nominee Director Deposit	
${nomineeDirector-email}	Nominee Director Email	
${nomineeDirector-gender}	Nominee Director Gender	
${nomineeDirector-name}	Nominee Director Name	
${nomineeDirector-nationality}	Nominee Director Nationality	
${nomineeDirector-passport}	Nominee Director Passport	
${nomineeDirector-period}	Nominee Director Period	
${nomineeDirector-phone}	Nominee Director Phone	
${nomineeDirector-price}	Nominee Director Price	
${resignationDirector-address}	Resignation Director Address	
${resignationDirector-birthday}	Resignation Director Birthday	
${resignationDirector-country}	Resignation Director Country	
${resignationDirector-email}	Resignation Director Email	
${resignationDirector-gender}	Resignation Director Gender	
${resignationDirector-name}	Resignation Director Name	
${resignationDirector-nationality}	Resignation Director Nationality	
${resignationDirector-passport}	Resignation Director Passport	
${resignationDirector-phone}	Resignation Director Phone	
${secretary}	Secretary name	
${secretary-address}	Secretary Address	
${secretary-business_occupation}	Secretary Business Occupation	
${secretary-country}	Secretary Country	
${secretary-email}	Secretary Email	
${secretary-nationality}	Secretary Nationality	
${secretary-particular}	Secretary Particular	
${secretary-passport}	Secretary Passport	
${secretary-phone}	Secretary Phone	
${stakeholder-address}	Stakeholder Address	
${stakeholder-birthday}	Stakeholder Birthday	
${stakeholder-country}	Stakeholder Country	
${stakeholder-email}	Stakeholder Email	
${stakeholder-gender}	Stakeholder Gender	
${stakeholder-name}	Stakeholder Name	
${stakeholder-nationality}	Stakeholder Nationality	
${stakeholder-passport}	Stakeholder Passport	
${stakeholder-phone}	Stakeholder Phone	
${company-reg_no}	Company Reg No	
${stakeholder-shares_amount}	Stakeholder Shares Amount	
${partner-name}	Company Partner Name	
${privateConfidential-name}	Private confidential manager name	
${CLONE_SHAREHOLDERS}	Copy content inside shareholders count times
Use only with closing placeholder ${/CLONE_SHAREHOLDERS}	
${CLONE_DIRECTORS}	Copy content inside directors count times
Use only with closing placeholder ${/CLONE_DIRECTORS}	
${ROW_SHAREHOLDERS}	Copy table row shareholders count times
Use inside first cell of any table row	
${ROW_DIRECTORS}	Copy table row directors count times
Use inside first cell of any table row	
${_director-name}	Director name
Use inside clone directory placeholders (CLONE_DIRECTORS or ROW_DIRECTORS)	
${_director-passport}	Director passport
Use inside clone directory placeholders (CLONE_DIRECTORS or ROW_DIRECTORS)	
${_director-country-name}	Director country
Use inside clone directory placeholders (CLONE_DIRECTORS or ROW_DIRECTORS)	
${_director-nationality-name}	Director nationality
Use inside clone directory placeholders (CLONE_DIRECTORS or ROW_DIRECTORS)	
${_director-address}	Director address
Use inside clone directory placeholders (CLONE_DIRECTORS or ROW_DIRECTORS)	
${_director-phone}	Director phone
Use inside clone directory placeholders (CLONE_DIRECTORS or ROW_DIRECTORS)	
${_director-email}	Director email
Use inside clone directory placeholders (CLONE_DIRECTORS or ROW_DIRECTORS)	
${_director-gender}	Director gender
Use inside clone directory placeholders (CLONE_DIRECTORS or ROW_DIRECTORS)	
${_director-shares_amount}	Director shares amount
Use inside clone directory placeholders (CLONE_DIRECTORS or ROW_DIRECTORS)	
${_shareholder-name}	Shareholder name
Use inside clone shareholder placeholders (CLONE_SHAREHOLDERS or ROW_SHAREHOLDERS)	
${_shareholder-passport}	Shareholder passport
Use inside clone shareholder placeholders (CLONE_SHAREHOLDERS or ROW_SHAREHOLDERS)	
${_shareholder-country-name}	Shareholder country
Use inside clone shareholder placeholders (CLONE_SHAREHOLDERS or ROW_SHAREHOLDERS)	
${_shareholder-nationality-name}	Shareholder nationality
Use inside clone shareholder placeholders (CLONE_SHAREHOLDERS or ROW_SHAREHOLDERS)	
${_shareholder-address}	Shareholder address
Use inside clone shareholder placeholders (CLONE_SHAREHOLDERS or ROW_SHAREHOLDERS)	
${_shareholder-phone}	Shareholder phone
Use inside clone shareholder placeholders (CLONE_SHAREHOLDERS or ROW_SHAREHOLDERS)	
${_shareholder-email}	Shareholder email
Use inside clone shareholder placeholders (CLONE_SHAREHOLDERS or ROW_SHAREHOLDERS)	
${_shareholder-gender}	Shareholder gender
Use inside clone shareholder placeholders (CLONE_SHAREHOLDERS or ROW_SHAREHOLDERS)	
${_shareholder-shares_amount}	Shareholder shares amount
Use inside clone shareholder placeholders (CLONE_SHAREHOLDERS or ROW_SHAREHOLDERS)	
${system-date}	Current date	
${system-day}	Current day	
${system-month}	Current month	
${system-year}	Current year	
${custom-company_reg_day}	Day of register company	
${custom-company_reg_month}	Month of register company	
${custom-company_reg_year}	Year of register company	
${custom-all_directors_name_and_passport}	All directors name & passport	
${num}	Row number
Use only in row with placeholder ROW_SHAREHOLDERS or ROW_DIRECTORS	
${riskAssessment-a1}	Risk Assessment - Formation of corporations of other legal persons	
${riskAssessment-a2}	Risk Assessment - Providing a registered office, business address or correspondene or administrative address or other related servies	
${riskAssessment-a3}	Risk Assessment - Acting, or arranging for another person to act as a partner of a partnership	
${riskAssessment-a4}	Risk Assessment - Acting, or arranging for another person to act in a position similar to the above in relation to other legal persons	
${riskAssessment-a5}	Risk Assessment - Acting, or arranging for another person to act as director or secretary of a corporation	
${riskAssessment-a6}	Risk Assessment - Acting, or arranging for another person to act, as a shareholder o behalf of any corporation other than one whose securities are listed on a securities exchange under section 2(1) or recognized securities exchange under section 283(1) of	
${riskAssessment-a7}	Risk Assessment - Is the Client a	
${riskAssessment-a8}	Risk Assessment - Is the Client physically present for identification purposes when establishing the business relationship?	
${riskAssessment-a9}	Risk Assessment - Is the Client engaing the registerd Filing Agent to perform complex or unusually large transactions, or unsual patterns of transactions that have no apparent or visible economic or lawful purpose?	
${riskAssessment-a10}	Risk Assessment - Are any of the persons listed a politically exposed person (at present or has stepped down) or immediate family member or a close associate of a politically exposed person (at present or has stepped down)?	
${riskAssessment-a11}	Risk Assessment - Are any of the persons identified from or in countries and territories outside Singapore known to have inadequate measures for the prevention of money laundering or the financing of terrorism?	
${riskAssessment-a12}	Risk Assessment - Are any of the persons identified from countries of jurisdictions which the Financial Action Task Force has called for countermeasures including the application of enhanced customer due diligence measures?	
${riskAssessment-a13}	Risk Assessment - Do any of the persons identified fall into any other categories of customers which the registered Filing Agent considers may present a high risk of money laundering or the financing of terrorism, or which the registered Filing Agent susp	
${riskAssessment-a1_details}	Risk Assessment - A1 Details	
${riskAssessment-a2_details}	Risk Assessment - A2 Details	
${riskAssessment-a3_details}	Risk Assessment - A3 Details	
${riskAssessment-a4_details}	Risk Assessment - A4 Details	
${riskAssessment-a5_details}	Risk Assessment - A5 Details	
${riskAssessment-a6_details}	Risk Assessment - A6 Details	
${riskAssessment-a7_details}	Risk Assessment - Please provide supporting information below if the answer to any of the above questions is Yes.	
${riskAssessment-risk_level}	Risk Assessment - Client Risk Rating	
${riskAssessment-recommendation}	Risk Assessment - Recommendation for Acceptance of Client	
${riskAssessment-approved-name}	Risk Assessment - Approval User name	
${riskAssessment-approved-email}	Risk Assessment - Approval User email	
${task-type}	Task type	
${task-status}	Task status	
${task-started_on}	Task started	
${task-completed_on}	Task completed	
${task-delegatedTo-name}	Task delegated user name	
${task-delegatedTo-email}	Task delegated user email	
${appointmentDirector-date}	Appointment Director Date of appointment	
${resignationDirector-date}	Resignation Director Date	
${stakeholder-certificate_no}	Stakeholder Certificate No	
${riskAssessment-a8_details}	Risk Assessment - A8 Details	
${_shareholder-servicesData-share_amount}	Stakeholder Increased Shares	
${_shareholder-servicesData-share_amount_total}	Stakeholder Total of Shares	
${stakeholder-created}	Stakeholder Created Date	
${stakeholder-cessation}	Director Cessation (yes, no)	
${stakeholder-cessation_date}	Director Cessation Date	
${stakeholder-acquired-shares_amount}	Stakeholder Shares Acquired shares amount	
${stakeholder-acquired-consideration}	Stakeholder Shares Acquired Consideration	
${stakeholder-acquired-certificate_no}	Stakeholder Shares Acquired Certificate No	
${stakeholder-acquired-date}	Stakeholder Shares Acquired Date	
${_transfer-shares}	Shareholder Shares Transfer - Shares	
${_transfer-consideration}	Shareholder Shares Transfer - Consideration	
${_transfer-shares_amount}	Shareholder Shares Transfer - Shares amount after transfer	
${_transfer-certificate_no}	Stakeholder Shares Transfer - Certificate No	
${_transfer-transferFrom}	Stakeholder Shares Transfer - Transfer from (name)	
${_transfer-transfer_from_shares_amount}	Stakeholder Shares Transfer - Transfer from (shares amount after transfer)	
${_transfer-date}	Stakeholder Shares Transfer - Transfer from (shares amount after transfer)	
${transfer-shares}	Shares Transfer - Shares	
${transfer-consideration}	Shares Transfer - Consideration	
${transfer-shares_amount}	Shares Transfer - Transfer To shares amount after transfer	
${transfer-certificate_no}	Shares Transfer - Certificate No of transfer to	
${transfer-from_shares_amount}	Shares Transfer - Transfer From shares amount after transfer	
${transfer-date}	Shares Transfer - Date	
${transfer-transferFrom-name}	Shares Transfer - Transfer From name	
